,Idade,Sexo,Escolaridade,Tipo_Moradia,Saldo_Investimento,Saldo_Conta_Corrente,Valor_Emprestimo,Duracao_Emprestimo,Inadimplencia,Probabilidades_previstas
387,40,M,Ensino Medio,Propria,Pouco,Moderado,7374,18,0,0.3935
804,24,H,Ensino Medio,Alugada,Sem investimento,Alto,7472,12,0,0.39135
434,25,M,Graduacao,Propria,Pouco,Pouco,2136,9,0,0.39025
212,50,M,Graduacao,Propria,Pouco,Pouco,5293,27,1,0.38839
713,25,M,Pos Graduacao,Propria,Pouco,Pouco,1138,9,0,0.3883
89,28,M,Graduacao,Propria,Pouco,Pouco,1108,12,1,0.38818
192,36,M,Graduacao,Propria,Pouco,Moderado,3915,27,1,0.38694
495,20,M,Graduacao,Propria,Sem investimento,Pouco,2996,24,1,0.38566
515,37,H,Graduacao,Propria,Pouco,Pouco,609,6,0,0.38478
293,56,M,Graduacao,De favor,Pouco,Alto,4796,42,0,0.38446
169,31,M,Graduacao,Propria,Pouco,Moderado,1935,24,1,0.38408
675,26,H,Ensino Medio,Alugada,Pouco,Sem conta,4530,30,0,0.38349
517,23,H,Graduacao,Alugada,Pouco,Sem conta,7127,36,1,0.38339
414,35,H,Graduacao,Propria,Sem investimento,Pouco,1381,24,1,0.38338
323,28,M,Graduacao,Propria,Alto,Pouco,2659,18,0,0.38334
737,35,M,Pos Graduacao,Propria,Moderado,Pouco,4380,18,0,0.38274
542,31,M,Graduacao,Propria,Sem investimento,Pouco,6350,30,1,0.38209
125,30,M,Graduacao,Propria,Pouco,Pouco,2121,12,0,0.38198
439,26,H,Ensino Medio,Propria,Pouco,Alto,609,12,1,0.38141
652,45,M,Graduacao,Propria,Pouco,Pouco,2303,24,1,0.3799
351,29,H,Graduacao,Propria,Pouco,Moderado,959,9,1,0.37889
678,64,M,Pos Graduacao,Alugada,Pouco,Pouco,2384,24,0,0.37743
981,33,M,Ensino Medio,Alugada,Pouco,Sem conta,4844,48,1,0.37686
199,40,M,Ensino Medio,Propria,Pouco,Moderado,4297,18,1,0.37634
507,34,M,Ensino Medio,Propria,Moderado,Moderado,6850,15,1,0.37596
233,25,M,Pos Graduacao,Propria,Pouco,Moderado,866,18,0,0.37446
146,39,H,Graduacao,Propria,Pouco,Pouco,860,6,0,0.37439
328,31,M,Graduacao,Propria,Pouco,Alto,4473,36,0,0.37409
601,30,H,Graduacao,Propria,Pouco,Moderado,918,9,1,0.3728
692,29,M,Graduacao,Propria,Moderado,Moderado,2896,24,0,0.37264
950,40,M,Ensino Medio,Propria,Pouco,Moderado,3590,18,0,0.37243
22,48,M,Pos Graduacao,Alugada,Pouco,Pouco,2241,10,0,0.37143
442,29,M,Graduacao,Propria,Pouco,Moderado,2629,20,0,0.37131
597,36,M,Pos Graduacao,Propria,Pouco,Moderado,4241,24,1,0.37105
416,33,M,Pos Graduacao,Propria,Pouco,Pouco,2579,12,1,0.37049
472,28,M,Pos Graduacao,Propria,Pouco,Pouco,654,9,1,0.36798
461,36,M,Graduacao,Propria,Pouco,Pouco,1721,15,0,0.36583
899,42,M,Graduacao,Propria,Pouco,Pouco,4153,18,1,0.3653
666,34,M,Graduacao,Propria,Alto,Moderado,3496,30,0,0.36182
103,35,M,Graduacao,Alugada,Pouco,Moderado,1919,9,0,0.35943
702,47,H,Graduacao,De favor,Moderado,Alto,1377,24,0,0.35735
953,26,H,Ensino Medio,Propria,Pouco,Sem conta,10974,36,1,0.35676
980,49,M,Graduacao,Propria,Pouco,Moderado,8386,30,1,0.35674
128,34,M,Ensino Medio,Propria,Pouco,Moderado,1860,12,0,0.35583
289,48,M,Graduacao,Propria,Pouco,Pouco,1024,24,1,0.35545
75,66,M,Ensino Medio,De favor,Pouco,Pouco,1526,12,0,0.35497
563,37,M,Graduacao,De favor,Sem investimento,Alto,12389,36,1,0.35093
719,31,M,Graduacao,Propria,Moderado,Moderado,6148,20,0,0.35091
512,26,M,Graduacao,Alugada,Pouco,Alto,2687,15,0,0.35026
535,33,M,Graduacao,Alugada,Pouco,Alto,2319,21,1,0.34964
906,24,M,Pos Graduacao,Propria,Sem investimento,Pouco,3763,21,0,0.34914
555,22,M,Graduacao,Propria,Pouco,Moderado,1331,12,1,0.34898
346,23,M,Graduacao,Propria,Pouco,Moderado,882,13,0,0.34775
834,25,H,Pos Graduacao,Propria,Pouco,Alto,2327,15,1,0.34752
924,55,M,Graduacao,Propria,Pouco,Pouco,6872,24,1,0.34694
559,31,M,Pos Graduacao,Propria,Pouco,Moderado,1928,18,1,0.34565
34,33,H,Ensino Medio,Propria,Pouco,Alto,1474,12,0,0.34563
759,35,M,Graduacao,Propria,Pouco,Pouco,691,12,1,0.34526
566,36,M,Graduacao,Propria,Pouco,Pouco,1372,12,1,0.34323
580,30,M,Graduacao,Propria,Pouco,Moderado,1056,18,1,0.3432
703,41,M,Graduacao,Propria,Moderado,Moderado,2503,30,0,0.34315
970,22,M,Graduacao,Propria,Moderado,Moderado,1514,15,0,0.343
648,38,M,Graduacao,De favor,Pouco,Alto,947,24,1,0.34203
32,30,M,Graduacao,Propria,Moderado,Moderado,5866,18,0,0.34141
631,44,M,Graduacao,Propria,Pouco,Pouco,1553,18,1,0.33991
892,38,M,Pos Graduacao,Propria,Pouco,Pouco,2171,12,0,0.33966
660,23,M,Graduacao,Alugada,Pouco,Alto,1297,12,0,0.33936
699,40,M,Ensino Medio,Alugada,Pouco,Alto,1905,15,0,0.33876
498,32,M,Pos Graduacao,Propria,Pouco,Moderado,1301,18,0,0.33671
672,42,M,Ensino Medio,Propria,Pouco,Sem conta,10366,60,0,0.3355
624,65,M,Graduacao,De favor,Pouco,Pouco,2600,18,1,0.33546
885,53,H,Graduacao,Propria,Pouco,Pouco,795,12,1,0.33534
594,40,M,Ensino Medio,Propria,Sem investimento,Pouco,1358,24,1,0.33475
307,33,M,Pos Graduacao,Propria,Moderado,Pouco,727,12,1,0.33292
615,48,M,Ensino Medio,Propria,Sem investimento,Alto,12204,48,0,0.33284
284,37,M,Graduacao,Propria,Moderado,Moderado,3878,24,0,0.33228
313,25,M,Pos Graduacao,Propria,Pouco,Moderado,685,12,1,0.33215
316,38,M,Pos Graduacao,Propria,Pouco,Pouco,708,12,0,0.33197
741,23,M,Pos Graduacao,Propria,Pouco,Moderado,1048,10,0,0.33176
969,40,M,Pos Graduacao,Propria,Pouco,Pouco,3939,11,0,0.33106
36,31,M,Graduacao,De favor,Pouco,Sem conta,6110,48,0,0.33013
689,31,M,Graduacao,Propria,Alto,Pouco,3651,12,0,0.33001
477,25,M,Graduacao,Propria,Pouco,Alto,5152,24,0,0.32942
560,49,M,Graduacao,De favor,Sem investimento,Pouco,2964,24,0,0.32937
474,33,M,Graduacao,Propria,Pouco,Moderado,1245,18,1,0.32747
207,26,M,Graduacao,Propria,Pouco,Moderado,1424,12,0,0.32708
884,43,M,Graduacao,Propria,Pouco,Moderado,4057,24,1,0.32684
186,74,H,Ensino Medio,De favor,Pouco,Moderado,5129,9,1,0.32668
220,26,M,Pos Graduacao,Propria,Pouco,Moderado,625,12,0,0.32631
349,32,M,Graduacao,De favor,Alto,Moderado,1136,9,1,0.32607
588,47,M,Pos Graduacao,Propria,Pouco,Pouco,1217,18,1,0.3249
158,38,M,Graduacao,Propria,Moderado,Moderado,3512,24,0,0.32486
250,39,H,Pos Graduacao,Propria,Alto,Pouco,666,6,0,0.32286
667,27,H,Graduacao,Propria,Pouco,Sem conta,3609,48,0,0.32222
126,40,M,Pos Graduacao,Propria,Pouco,Pouco,701,12,0,0.32094
479,44,M,Graduacao,Propria,Pouco,Pouco,1478,15,0,0.31951
139,44,H,Pos Graduacao,Alugada,Pouco,Alto,1881,12,0,0.31892
107,32,M,Graduacao,Propria,Pouco,Moderado,6078,12,0,0.31824
595,32,H,Pos Graduacao,Propria,Moderado,Moderado,931,6,1,0.31724
176,42,M,Graduacao,Propria,Pouco,Pouco,2577,12,0,0.31634
604,23,H,Graduacao,Propria,Pouco,Alto,1275,10,0,0.31628
750,49,H,Graduacao,Propria,Pouco,Pouco,428,6,0,0.31566
398,46,M,Graduacao,Alugada,Pouco,Moderado,1223,12,1,0.31456
325,39,M,Pos Graduacao,Propria,Pouco,Pouco,3398,8,0,0.31397
124,27,H,Graduacao,Alugada,Sem investimento,Alto,1924,18,1,0.31345
39,24,M,Graduacao,Propria,Pouco,Moderado,458,9,0,0.31331
503,38,M,Graduacao,Propria,Moderado,Moderado,1216,24,1,0.31311
21,44,M,Graduacao,Alugada,Alto,Pouco,2647,6,0,0.31206
93,20,M,Graduacao,Alugada,Sem investimento,Alto,3617,24,0,0.31181
912,25,H,Graduacao,Propria,Sem investimento,Alto,2991,30,0,0.31124
659,41,M,Graduacao,Propria,Pouco,Moderado,6361,18,0,0.31018
184,36,M,Graduacao,Propria,Pouco,Moderado,884,18,1,0.30934
590,58,H,Pos Graduacao,Propria,Pouco,Pouco,385,12,0,0.30927
696,29,M,Graduacao,Propria,Pouco,Moderado,1103,12,0,0.30917
724,21,H,Graduacao,Alugada,Pouco,Sem conta,2570,27,1,0.30914
299,32,M,Graduacao,Propria,Alto,Moderado,2745,21,0,0.30858
929,43,M,Pos Graduacao,Propria,Pouco,Pouco,1344,12,0,0.30802
964,22,M,Pos Graduacao,Propria,Pouco,Moderado,454,6,0,0.3079
511,32,M,Ensino Medio,De favor,Pouco,Sem conta,4686,36,0,0.30777
248,26,M,Graduacao,Propria,Pouco,Alto,1925,24,0,0.3075
25,36,M,Pos Graduacao,Propria,Pouco,Pouco,1374,6,0,0.3069
663,35,M,Ensino Medio,Propria,Pouco,Moderado,1050,6,0,0.30604
603,28,H,Ensino Medio,Propria,Pouco,Sem conta,3349,36,1,0.30595
574,27,M,Pos Graduacao,Propria,Pouco,Moderado,1082,9,0,0.30371
782,31,M,Pos Graduacao,Propria,Pouco,Moderado,1410,12,0,0.30333
97,34,M,Graduacao,Propria,Moderado,Moderado,2622,18,0,0.3029
796,51,M,Graduacao,De favor,Sem investimento,Pouco,7511,18,1,0.30258
60,27,M,Graduacao,Propria,Pouco,Moderado,1391,9,0,0.30201
127,30,M,Graduacao,Propria,Pouco,Moderado,639,12,1,0.30154
965,26,H,Graduacao,Propria,Sem investimento,Alto,1715,30,0,0.29956
553,27,M,Graduacao,Propria,Moderado,Moderado,1995,12,0,0.29854
810,26,M,Graduacao,Propria,Pouco,Moderado,907,8,0,0.29853
114,35,M,Graduacao,Propria,Alto,Pouco,1680,12,0,0.29846
187,68,M,Ensino Medio,De favor,Pouco,Moderado,1175,16,0,0.29761
42,44,M,Pos Graduacao,Propria,Pouco,Moderado,6204,18,0,0.29677
67,22,M,Graduacao,Propria,Alto,Moderado,1007,12,0,0.29543
119,36,M,Ensino Medio,Propria,Alto,Moderado,2366,12,0,0.29533
388,27,M,Graduacao,Propria,Alto,Moderado,2326,15,0,0.2947
13,60,M,Pos Graduacao,Propria,Pouco,Pouco,1199,24,1,0.29402
157,45,M,Pos Graduacao,Propria,Pouco,Pouco,339,12,0,0.29254
989,48,M,Pos Graduacao,Propria,Pouco,Moderado,1743,24,0,0.29177
732,44,H,Pos Graduacao,Propria,Pouco,Moderado,760,8,0,0.2913
339,31,M,Pos Graduacao,Propria,Pouco,Moderado,1521,10,0,0.29126
288,49,H,Graduacao,Propria,Pouco,Moderado,1092,12,0,0.28886
806,26,M,Pos Graduacao,Propria,Pouco,Moderado,590,6,0,0.28765
99,36,M,Ensino Medio,Alugada,Sem investimento,Alto,7057,20,0,0.28621
925,46,M,Graduacao,Propria,Pouco,Pouco,697,12,1,0.28598
516,40,M,Pos Graduacao,Propria,Pouco,Pouco,1361,6,0,0.28597
641,38,M,Pos Graduacao,Propria,Pouco,Moderado,1308,15,0,0.28527
265,37,M,Graduacao,Propria,Pouco,Moderado,802,15,1,0.28481
600,45,H,Graduacao,Propria,Pouco,Moderado,2329,7,0,0.28442
936,28,H,Pos Graduacao,Propria,Pouco,Alto,745,9,1,0.28427
838,63,M,Graduacao,Propria,Pouco,Pouco,2957,24,0,0.28396
465,63,M,Graduacao,Propria,Pouco,Pouco,2924,24,0,0.2838
793,51,M,Graduacao,De favor,Pouco,Alto,2892,24,0,0.28218
875,40,H,Graduacao,Propria,Alto,Moderado,1322,11,0,0.28119
163,70,M,Ensino Medio,De favor,Pouco,Moderado,7308,10,0,0.27982
237,61,M,Pos Graduacao,Alugada,Moderado,Moderado,2767,21,1,0.27846
661,23,M,Graduacao,Propria,Sem investimento,Pouco,900,12,1,0.27844
961,47,M,Graduacao,Propria,Pouco,Moderado,2353,21,0,0.27823
113,25,H,Graduacao,Propria,Pouco,Sem conta,7855,36,1,0.27774
835,48,M,Graduacao,Propria,Pouco,Pouco,1082,12,1,0.27769
529,41,M,Pos Graduacao,Propria,Pouco,Pouco,662,6,0,0.27758
811,28,M,Pos Graduacao,Propria,Pouco,Moderado,484,6,0,0.27701
329,28,M,Graduacao,Propria,Pouco,Moderado,1068,6,0,0.2767
168,25,H,Graduacao,Alugada,Pouco,Sem conta,3972,24,0,0.27654
41,26,M,Graduacao,Propria,Alto,Moderado,1158,12,0,0.27574
651,37,M,Pos Graduacao,Propria,Pouco,Moderado,1922,12,1,0.27497
785,35,M,Pos Graduacao,Propria,Alto,Moderado,1941,18,0,0.27369
591,42,H,Graduacao,Alugada,Sem investimento,Alto,1965,24,0,0.27343
917,68,M,Ensino Medio,Propria,Pouco,Pouco,14896,6,1,0.27008
27,42,H,Graduacao,Alugada,Alto,Alto,409,12,0,0.26959
627,29,M,Graduacao,Propria,Moderado,Moderado,1437,9,1,0.26737
362,36,H,Graduacao,Propria,Pouco,Alto,2247,12,0,0.26641
30,36,M,Graduacao,Propria,Alto,Moderado,1913,18,0,0.26561
173,33,M,Graduacao,Propria,Pouco,Moderado,1414,8,0,0.26552
611,48,H,Pos Graduacao,De favor,Moderado,Alto,1240,10,1,0.26457
539,45,H,Pos Graduacao,Propria,Pouco,Alto,3049,18,0,0.26449
685,34,M,Graduacao,De favor,Sem investimento,Sem conta,6527,60,0,0.26346
568,41,M,Graduacao,Propria,Sem investimento,Alto,3979,48,0,0.26274
303,49,M,Graduacao,Propria,Pouco,Pouco,1038,10,0,0.26069
823,47,M,Pos Graduacao,Propria,Pouco,Pouco,731,8,0,0.26026
121,41,H,Ensino Medio,Alugada,Pouco,Sem conta,3868,24,0,0.25986
28,34,M,Graduacao,Propria,Pouco,Moderado,2415,7,0,0.2594
907,27,M,Graduacao,Propria,Sem investimento,Alto,3711,36,0,0.25922
709,37,M,Pos Graduacao,Propria,Pouco,Moderado,2118,9,0,0.25817
562,29,H,Graduacao,Propria,Pouco,Alto,683,6,0,0.25813
765,40,M,Pos Graduacao,Propria,Pouco,Moderado,1155,12,0,0.2568
57,31,H,Graduacao,Propria,Pouco,Sem conta,9566,36,0,0.25626
447,35,M,Graduacao,Propria,Pouco,Moderado,2576,7,0,0.25534
84,52,M,Pos Graduacao,Propria,Pouco,Pouco,2315,10,0,0.25502
182,40,M,Pos Graduacao,Propria,Sem investimento,Pouco,1647,21,1,0.25484
70,30,H,Graduacao,Propria,Pouco,Sem conta,8133,36,0,0.2546
957,37,M,Pos Graduacao,Propria,Pouco,Moderado,1154,9,0,0.25385
380,39,M,Graduacao,Propria,Sem investimento,Pouco,2212,20,0,0.25348
656,41,M,Pos Graduacao,Propria,Pouco,Moderado,888,12,1,0.25087
821,24,M,Graduacao,Propria,Pouco,Alto,3016,12,0,0.25006
91,54,M,Graduacao,Propria,Pouco,Pouco,1409,12,0,0.25005
921,37,M,Ensino Medio,Propria,Alto,Sem conta,12749,48,0,0.24929
779,67,H,Graduacao,Propria,Pouco,Moderado,3872,18,0,0.24886
485,47,M,Ensino Medio,Propria,Pouco,Moderado,1209,6,1,0.24691
554,67,H,Ensino Medio,Propria,Pouco,Moderado,1199,9,0,0.24573
179,65,M,Graduacao,Propria,Pouco,Pouco,571,21,0,0.2457
109,35,M,Graduacao,Propria,Alto,Moderado,1410,14,0,0.24517
669,47,M,Graduacao,Propria,Pouco,Alto,3017,30,0,0.24409
518,43,M,Graduacao,Propria,Moderado,Pouco,1203,6,0,0.24409
357,26,M,Ensino Medio,Propria,Pouco,Sem conta,4463,36,1,0.24112
110,31,M,Graduacao,Propria,Moderado,Moderado,1449,6,0,0.2408
249,22,H,Graduacao,Alugada,Pouco,Sem conta,433,18,1,0.24028
543,34,M,Pos Graduacao,Propria,Pouco,Alto,2864,18,1,0.23946
720,34,M,Ensino Medio,Propria,Pouco,Alto,1337,9,1,0.23852
478,39,M,Pos Graduacao,Propria,Moderado,Moderado,1037,12,0,0.23835
156,48,M,Graduacao,Propria,Moderado,Pouco,1288,9,0,0.23813
849,57,M,Pos Graduacao,Propria,Pouco,Pouco,709,12,1,0.23603
304,44,M,Graduacao,De favor,Alto,Sem conta,10127,48,1,0.23573
198,36,M,Graduacao,De favor,Sem investimento,Alto,2760,24,0,0.23524
753,25,H,Graduacao,Propria,Pouco,Sem conta,5771,30,0,0.234
383,26,M,Graduacao,Propria,Pouco,Alto,1330,12,0,0.23361
468,26,H,Graduacao,Propria,Pouco,Sem conta,2764,33,0,0.23305
455,29,H,Ensino Medio,Propria,Pouco,Sem conta,2679,24,0,0.22757
589,60,M,Graduacao,Propria,Pouco,Pouco,2246,12,1,0.2264
581,49,M,Pos Graduacao,Propria,Pouco,Moderado,3124,12,0,0.22418
422,47,M,Pos Graduacao,Propria,Pouco,Moderado,958,12,0,0.22401
251,46,H,Pos Graduacao,Propria,Pouco,Alto,2251,12,0,0.2231
572,26,H,Ensino Medio,Alugada,Sem investimento,Sem conta,5433,24,0,0.22236
910,34,H,Graduacao,Propria,Pouco,Sem conta,4454,36,0,0.22081
37,37,M,Graduacao,Propria,Pouco,Alto,2100,18,1,0.22029
373,63,M,Ensino Medio,De favor,Sem investimento,Sem conta,13756,60,0,0.22002
82,24,H,Pos Graduacao,Alugada,Moderado,Sem conta,1568,18,0,0.21748
236,23,M,Ensino Medio,Propria,Sem investimento,Alto,14555,6,1,0.21718
23,44,M,Graduacao,Propria,Moderado,Moderado,1804,12,0,0.21686
888,34,M,Ensino Medio,Propria,Pouco,Sem conta,6614,36,0,0.21483
797,22,H,Pos Graduacao,Alugada,Pouco,Sem conta,1258,12,0,0.21459
77,51,M,Graduacao,Propria,Pouco,Moderado,4771,11,0,0.21447
733,28,H,Graduacao,Alugada,Alto,Sem conta,2603,24,0,0.21298
633,19,H,Graduacao,Alugada,Pouco,Sem conta,1980,9,1,0.21228
213,66,M,Ensino Medio,Propria,Pouco,Alto,1908,30,1,0.2118
848,59,M,Graduacao,Propria,Pouco,Pouco,1364,9,0,0.21164
729,36,M,Graduacao,Propria,Alto,Alto,1275,24,0,0.21159
279,29,M,Ensino Medio,Alugada,Moderado,Sem conta,1901,24,0,0.21118
68,37,M,Graduacao,De favor,Pouco,Sem conta,1819,36,1,0.21066
564,37,M,Ensino Medio,Propria,Sem investimento,Alto,4712,24,0,0.21065
140,27,M,Ensino Medio,Propria,Alto,Alto,709,6,0,0.20932
306,24,H,Pos Graduacao,Alugada,Sem investimento,Sem conta,4811,30,0,0.20785
424,25,H,Graduacao,Propria,Sem investimento,Alto,2762,12,1,0.20702
833,42,H,Graduacao,Propria,Sem investimento,Alto,5084,24,0,0.20564
549,35,M,Graduacao,De favor,Sem investimento,Sem conta,8858,48,0,0.20418
420,20,H,Graduacao,Alugada,Alto,Sem conta,3186,15,0,0.20346
372,23,H,Graduacao,Alugada,Pouco,Sem conta,2146,10,0,0.20145
865,20,H,Graduacao,Alugada,Alto,Sem conta,2221,15,0,0.1998
180,28,M,Graduacao,Propria,Pouco,Sem conta,9572,36,1,0.19877
411,35,M,Ensino Medio,Propria,Pouco,Sem conta,7253,33,0,0.19837
419,33,H,Graduacao,Propria,Sem investimento,Alto,1042,18,1,0.19741
975,57,H,Pos Graduacao,Propria,Alto,Alto,1258,24,0,0.19433
717,32,M,Ensino Medio,De favor,Pouco,Sem conta,1505,18,0,0.19329
350,23,H,Graduacao,Alugada,Pouco,Sem conta,1236,9,0,0.19328
344,37,M,Pos Graduacao,Propria,Pouco,Alto,3949,10,0,0.19053
64,26,H,Graduacao,Propria,Pouco,Sem conta,3181,24,0,0.18954
974,33,H,Graduacao,Propria,Pouco,Sem conta,2831,30,0,0.18919
968,29,M,Graduacao,Alugada,Sem investimento,Sem conta,7166,42,0,0.1878
976,64,H,Graduacao,Propria,Pouco,Moderado,753,6,0,0.18766
50,29,M,Pos Graduacao,Propria,Sem investimento,Alto,2333,24,0,0.18552
409,28,M,Graduacao,Propria,Alto,Alto,939,12,1,0.18463
144,23,H,Graduacao,Propria,Pouco,Sem conta,2288,21,0,0.18399
665,27,M,Ensino Medio,Propria,Pouco,Sem conta,6314,24,0,0.1839
523,23,H,Graduacao,Propria,Moderado,Sem conta,3488,24,0,0.18362
882,36,M,Graduacao,Propria,Sem investimento,Alto,2181,30,0,0.18357
177,52,M,Graduacao,Propria,Alto,Pouco,338,6,0,0.18352
795,22,H,Graduacao,Alugada,Moderado,Sem conta,2301,9,0,0.18242
582,26,H,Graduacao,Alugada,Pouco,Sem conta,1388,9,0,0.18238
317,48,H,Pos Graduacao,Propria,Sem investimento,Alto,4351,24,0,0.18191
599,32,M,Graduacao,De favor,Pouco,Sem conta,3863,24,0,0.18095
718,31,M,Graduacao,Propria,Sem investimento,Alto,3148,24,0,0.17865
38,37,M,Graduacao,Propria,Pouco,Alto,1225,10,0,0.17857
225,27,M,Graduacao,Propria,Pouco,Sem conta,2613,36,0,0.17757
877,28,M,Graduacao,Propria,Pouco,Sem conta,3595,36,0,0.17729
817,24,H,Graduacao,Alugada,Pouco,Sem conta,1554,6,0,0.17698
499,28,M,Graduacao,Propria,Moderado,Alto,1323,6,0,0.17645
693,44,M,Pos Graduacao,Propria,Sem investimento,Pouco,4716,6,0,0.17459
509,45,M,Ensino Medio,Propria,Moderado,Sem conta,8588,39,0,0.1743
664,50,H,Pos Graduacao,Propria,Pouco,Alto,1047,6,0,0.17405
757,39,M,Graduacao,De favor,Sem investimento,Alto,1271,15,1,0.17355
506,36,M,Graduacao,Propria,Alto,Alto,2360,15,0,0.17344
614,22,H,Graduacao,Propria,Pouco,Sem conta,1808,18,1,0.17274
870,40,H,Graduacao,Propria,Alto,Sem conta,7678,36,0,0.17177
645,27,M,Graduacao,Alugada,Sem investimento,Sem conta,7980,36,1,0.17132
277,49,M,Pos Graduacao,Propria,Sem investimento,Pouco,1262,12,0,0.17096
837,23,H,Pos Graduacao,Alugada,Pouco,Sem conta,601,4,0,0.17088
842,23,H,Graduacao,Propria,Pouco,Sem conta,1943,18,1,0.16964
418,31,H,Ensino Medio,Propria,Alto,Sem conta,2782,21,0,0.16822
476,24,M,Graduacao,Propria,Alto,Sem conta,2569,39,0,0.16709
178,31,M,Ensino Medio,Alugada,Pouco,Sem conta,1963,12,0,0.16697
909,33,H,Pos Graduacao,Propria,Sem investimento,Alto,3195,9,0,0.16685
886,34,M,Graduacao,Propria,Sem investimento,Alto,2825,24,0,0.16684
85,29,H,Ensino Medio,Propria,Pouco,Sem conta,1412,12,0,0.16602
774,66,M,Ensino Medio,De favor,Alto,Alto,1480,12,0,0.16456
385,25,H,Graduacao,Propria,Pouco,Sem conta,2238,18,0,0.16366
632,23,M,Graduacao,Propria,Sem investimento,Alto,1444,15,0,0.16285
763,30,M,Ensino Medio,De favor,Sem investimento,Sem conta,12680,21,1,0.16214
723,66,H,Pos Graduacao,Propria,Alto,Moderado,790,9,0,0.16157
967,54,H,Ensino Medio,Alugada,Pouco,Sem conta,3568,15,0,0.16102
276,26,H,Graduacao,Propria,Pouco,Sem conta,2404,18,0,0.16079
778,38,M,Ensino Medio,Propria,Alto,Sem conta,5711,36,0,0.16038
705,35,H,Graduacao,De favor,Alto,Sem conta,5324,15,0,0.16023
415,35,M,Graduacao,Propria,Pouco,Sem conta,5842,36,0,0.16017
401,28,M,Graduacao,Propria,Sem investimento,Alto,1887,18,0,0.15959
94,54,M,Graduacao,Propria,Alto,Moderado,1318,12,0,0.15944
679,26,H,Graduacao,Propria,Pouco,Sem conta,1453,18,0,0.15779
671,31,M,Graduacao,Propria,Moderado,Sem conta,5742,36,0,0.15702
575,24,H,Graduacao,Propria,Pouco,Sem conta,2788,15,0,0.15659
857,28,M,Graduacao,De favor,Pouco,Sem conta,3343,15,0,0.15529
845,35,M,Graduacao,Propria,Sem investimento,Alto,3976,21,0,0.1549
536,75,H,Ensino Medio,Propria,Sem investimento,Pouco,1374,6,0,0.15425
69,25,H,Graduacao,Propria,Sem investimento,Sem conta,2394,36,0,0.15424
5,35,M,Pos Graduacao,De favor,Sem investimento,Sem conta,9055,36,0,0.15413
382,25,H,Graduacao,Alugada,Sem investimento,Sem conta,1283,22,0,0.1541
302,37,M,Pos Graduacao,Propria,Sem investimento,Alto,1344,24,1,0.1541
123,63,M,Graduacao,De favor,Pouco,Alto,781,10,0,0.15366
450,30,M,Ensino Medio,Propria,Sem investimento,Sem conta,11054,36,0,0.15332
700,29,H,Pos Graduacao,Alugada,Alto,Sem conta,1123,12,1,0.15267
361,37,M,Ensino Medio,Propria,Sem investimento,Alto,3399,12,0,0.15263
40,30,M,Ensino Medio,Propria,Alto,Sem conta,2333,30,0,0.1524
920,28,H,Graduacao,Propria,Pouco,Sem conta,1817,18,0,0.15236
202,26,M,Graduacao,Propria,Pouco,Sem conta,5117,27,0,0.1518
626,41,M,Graduacao,Propria,Pouco,Alto,2116,6,0,0.15112
386,21,H,Graduacao,Alugada,Sem investimento,Sem conta,1126,18,0,0.15095
880,38,M,Ensino Medio,Propria,Pouco,Sem conta,7814,24,0,0.15059
78,39,M,Pos Graduacao,Propria,Sem investimento,Sem conta,9436,54,0,0.15043
122,24,M,Pos Graduacao,Alugada,Pouco,Sem conta,1768,12,0,0.14942
449,61,M,Graduacao,Propria,Alto,Moderado,1512,15,1,0.149
402,27,M,Graduacao,Propria,Pouco,Sem conta,8648,24,1,0.14768
546,37,H,Graduacao,Propria,Pouco,Sem conta,2022,24,0,0.14736
384,26,M,Pos Graduacao,Propria,Moderado,Sem conta,4272,30,0,0.14731
258,23,H,Graduacao,Propria,Moderado,Sem conta,3812,15,0,0.14729
776,37,M,Graduacao,Propria,Pouco,Sem conta,3535,36,0,0.14662
956,49,M,Pos Graduacao,Propria,Sem investimento,Alto,3656,30,0,0.14586
520,44,M,Graduacao,De favor,Pouco,Sem conta,5507,24,0,0.14537
